transcription_provenance,workout_type,row_kind,row_index,display_time_s,display_distance_m,pace_500m_s,stroke_rate_spm,heart_rate_bpm,watts
SYNTHETIC,INTERVAL,WORK,1,498.333,2000.000,124.583,22.00,,173.0
SYNTHETIC,INTERVAL,RECOVERY,2,120,0,,,,
SYNTHETIC,INTERVAL,WORK,3,498.333,2000.000,124.583,22.50,,175.0
SYNTHETIC,INTERVAL,RECOVERY,4,120,0,,,,
SYNTHETIC,INTERVAL,WORK,5,498.333,2000.000,124.583,23.00,,177.0
SYNTHETIC,INTERVAL,RECOVERY,6,120,0,,,,
SYNTHETIC,INTERVAL,WORK,7,498.333,2000.000,124.583,22.00,,173.0
SYNTHETIC,INTERVAL,RECOVERY,8,120,0,,,,
SYNTHETIC,INTERVAL,WORK,9,498.333,2000.000,124.583,22.50,,175.0
SYNTHETIC,INTERVAL,RECOVERY,10,120,0,,,,
SYNTHETIC,INTERVAL,WORK,11,498.333,2000.000,124.583,23.00,,177.0
