transcription_provenance,workout_type,row_kind,row_index,display_time_s,display_distance_m,pace_500m_s,stroke_rate_spm,heart_rate_bpm,watts
SYNTHETIC,INTERVAL,WORK,1,496.333,2000.000,124.083,21.50,,176.0
SYNTHETIC,INTERVAL,RECOVERY,2,120,0,,,,
SYNTHETIC,INTERVAL,WORK,3,496.333,2000.000,124.083,22.00,,178.0
SYNTHETIC,INTERVAL,RECOVERY,4,120,0,,,,
SYNTHETIC,INTERVAL,WORK,5,496.333,2000.000,124.083,22.50,,180.0
SYNTHETIC,INTERVAL,RECOVERY,6,120,0,,,,
SYNTHETIC,INTERVAL,WORK,7,496.333,2000.000,124.083,21.50,,176.0
SYNTHETIC,INTERVAL,RECOVERY,8,120,0,,,,
SYNTHETIC,INTERVAL,WORK,9,496.333,2000.000,124.083,22.00,,178.0
SYNTHETIC,INTERVAL,RECOVERY,10,120,0,,,,
SYNTHETIC,INTERVAL,WORK,11,496.333,2000.000,124.083,22.50,,180.0
