transcription_provenance,workout_type,row_kind,row_index,display_time_s,display_distance_m,pace_500m_s,stroke_rate_spm,heart_rate_bpm,watts
SYNTHETIC,INTERVAL,WORK,1,494.333,2000.000,123.583,21.00,,179.0
SYNTHETIC,INTERVAL,RECOVERY,2,120,0,,,,
SYNTHETIC,INTERVAL,WORK,3,494.333,2000.000,123.583,21.50,,181.0
SYNTHETIC,INTERVAL,RECOVERY,4,120,0,,,,
SYNTHETIC,INTERVAL,WORK,5,494.333,2000.000,123.583,22.00,,183.0
SYNTHETIC,INTERVAL,RECOVERY,6,120,0,,,,
SYNTHETIC,INTERVAL,WORK,7,494.333,2000.000,123.583,21.00,,179.0
SYNTHETIC,INTERVAL,RECOVERY,8,120,0,,,,
SYNTHETIC,INTERVAL,WORK,9,494.333,2000.000,123.583,21.50,,181.0
SYNTHETIC,INTERVAL,RECOVERY,10,120,0,,,,
SYNTHETIC,INTERVAL,WORK,11,494.333,2000.000,123.583,22.00,,183.0
