transcription_provenance,workout_type,row_kind,row_index,display_time_s,display_distance_m,pace_500m_s,stroke_rate_spm,heart_rate_bpm,watts
SYNTHETIC,INTERVAL,WORK,1,490.333,2000.000,122.583,21.50,,185.0
SYNTHETIC,INTERVAL,RECOVERY,2,120,0,,,,
SYNTHETIC,INTERVAL,WORK,3,490.333,2000.000,122.583,22.00,,187.0
SYNTHETIC,INTERVAL,RECOVERY,4,120,0,,,,
SYNTHETIC,INTERVAL,WORK,5,490.333,2000.000,122.583,22.50,,189.0
SYNTHETIC,INTERVAL,RECOVERY,6,120,0,,,,
SYNTHETIC,INTERVAL,WORK,7,490.333,2000.000,122.583,21.50,,185.0
SYNTHETIC,INTERVAL,RECOVERY,8,120,0,,,,
SYNTHETIC,INTERVAL,WORK,9,490.333,2000.000,122.583,22.00,,187.0
SYNTHETIC,INTERVAL,RECOVERY,10,120,0,,,,
SYNTHETIC,INTERVAL,WORK,11,490.333,2000.000,122.583,22.50,,189.0
