sampleType,timestamp,distance,power,accelX,accelY,accelZ,boatAccelX,boatAccelY,boatAccelZ,gyroX,gyroY,gyroZ,latitude,longitude,speed,gpsHeading,gpsAltitude,gpsAccuracy,spm,strokeCount,driveTime,recoveryTime,driveRatio,catchDuration,gravityX,gravityY,gravityZ,detectorMode,detectorAboveThreshold,detectorForcedStroke,detectorResumingFromGap,detectorRejectionReason,detectorPeakProminence,detectorTimeAboveThresholdMs,detectorTimeSinceLastStrokeMs,detectorSmoothedMagnitude,detectorGravityAlpha,detectorGravityShiftG,detectorConfidence
sensor,1768474754821,18.574867616723406,0,-0.14612023532390594,0.8467724323272705,0.5249499082565308,-0.14612023532390594,0.8467724323272705,0.5249499082565308,0,0,0,9.9998568,9.9997573,0.5434489162836083,89,990.4,1.5,,0,0.126,1.0379999999999998,0.1082474226804124,0,-0.1547832957922437,0.863181240543703,0.4933266314458058,classic,0,0,0,none,0,0,0,0.3561270824350514,-0.1547832957922437,0.03684934237532028,0
sensor,1768474759768,22.01236344064786,0,-0.11716539412736893,0.8526917695999146,0.5038418173789978,-0.11716539412736893,0.8526917695999146,0.5038418173789978,0,0,0,9.9998618,9.9997882,0.6292315470972388,96,989.9,1.5,,0,0.208,0.9179999999999999,0.1847246891651865,0,-0.15424385371972146,0.8620631320939717,0.4949542455314572,classic,0,0,0,none,0,0,0,0.5336999068092758,-0.15424385371972146,0.03946081812185637,0
sensor,1768474763765,25.243587110919353,0,-0.107574962079525,0.893470287322998,0.5093482732772827,-0.107574962079525,0.893470287322998,0.5093482732772827,0,0,0,9.9998651,9.9998176,0.6888780850828552,86,989.6,1.465999960899353,,0,0,1.105,0,0.057,-0.14990061719523246,0.8629639004862985,0.49541037221119066,classic,0,0,0,none,0,0,0,0.2558611793181137,-0.14990061719523246,0.05427476078039021,0
sensor,1768474768742,28.45946726748409,0,-0.1483687162399292,0.9109073877334595,0.5245369672775269,-0.1483687162399292,0.9109073877334595,0.5245369672775269,0,0,0,9.9998634,9.9998469,0.726428152638474,84,989.6,1.4160000085830688,,0,0.202,0.46699999999999997,0.30194319880418535,0.495,-0.1557707436959879,0.864037260922128,0.4920039561278379,classic,0,0,0,none,0,0,0,0.6165213389029062,-0.1557707436959879,0.05782166967006033,0
sensor,1768474772732,31.967626121291605,0,-0.17539629340171814,0.8552309274673462,0.45458948612213135,-0.17539629340171814,0.8552309274673462,0.45458948612213135,0,0,0,9.9998718,9.9998778,0.7577370668362876,66,990,1.4830000400543213,,0,0.175,0.96,0.1541850220264317,0,-0.1632320306293877,0.8647145993630321,0.48998507485527626,classic,0,0,0,none,0,0,0,0.7421925451296929,-0.1632320306293877,0.0388043444766059,0
sensor,1768474775750,35.434339923040355,0,-0.15581774711608887,0.8520799875259399,0.45336583256721497,-0.15581774711608887,0.8520799875259399,0.45336583256721497,0,0,0,9.9998868,9.9999055,0.7921332145993878,58,989.7,1.5,,0,0.233,0.9309999999999999,0.20017182130584193,0,-0.1662167773751922,0.8629546257572884,0.48943112226671254,classic,0,0,0,none,0,0,0,0.41302960273028705,-0.1662167773751922,0.03927453419504306,0
sensor,1768474778754,38.51385462362067,0,-0.1963973492383957,0.865739107131958,0.4912993013858795,-0.1963973492383957,0.865739107131958,0.4912993013858795,0,0,0,9.9999051,9.9999266,0.8298035188253339,49,989.9,1.4500000476837158,,0,0,1.0259999999999998,0,0.11,-0.16810764938946918,0.8640014736913304,0.48217402484976324,classic,0,0,0,none,0,0,0,1.0992813879833128,-0.16810764938946918,0.02992540846577662,0
sensor,1768474781724,41.72913339856367,0,-0.1539822518825531,0.8221920728683472,0.3578133285045624,-0.1539822518825531,0.8221920728683472,0.3578133285045624,0,0,0,9.9999251,9.9999478,0.867722579055912,43,989.2,1.4160000085830688,,0,0.232,0.8140000000000001,0.22179732313575526,0.117,-0.16749825685020409,0.8670570945997036,0.4788327162279719,classic,0,0,0,none,0,0,0,0.6669030236115214,-0.16749825685020409,0.13042595134718446,0
sensor,1768474785727,45.463359520292784,0,-0.20384638011455536,0.8252512812614441,0.4930277168750763,-0.20384638011455536,0.8252512812614441,0.4930277168750763,0,0,0,9.9999501,9.9999706,0.9011030895449467,35,988.2,1.4830000400543213,,0,0.236,0.9199999999999999,0.2041522491349481,0,-0.16690523200340598,0.8676414681523293,0.4847894191028056,classic,0,0,0,none,0,0,0,1.0041020198777242,-0.16690523200340598,0.05711378302217793,0
sensor,1768474788720,48.76041764853194,0,-0.20537593960762024,0.8245475888252258,0.513218104839325,-0.20537593960762024,0.8245475888252258,0.513218104839325,0,0,0,9.9999768,9.9999837,0.9299753437999674,25,987.8000000000001,1.5160000324249268,,0,0,0.9510000000000001,0,0.173,-0.16330572016142406,0.8672878910012339,0.485655364648731,classic,0,0,0,none,0,0,0,0.7313847881065905,-0.16330572016142406,0.06633425791435323,0
