timestamp,elapsed_s,distance_m,speed_m_s,stroke_rate_spm,latitude,longitude,heading_deg
2026-01-20T06:00:00.000-03:00,0.000,0.000,0.000,0.00,10.0000000,10.0000000,0.0
2026-01-20T06:00:05.000-03:00,5.000,16.626,3.325,20.12,10.0001495,10.0000006,0.0
2026-01-20T06:00:10.000-03:00,10.000,33.386,3.352,20.31,10.0003003,10.0000013,0.0
2026-01-20T06:00:15.000-03:00,15.000,49.976,3.318,20.45,10.0004494,10.0000019,0.0
2026-01-20T06:00:20.000-03:00,20.000,66.622,3.329,20.40,10.0005991,10.0000025,0.0
2026-01-20T06:00:25.000-03:00,25.000,83.267,3.329,20.38,10.0007488,10.0000032,0.0
2026-01-20T06:00:30.000-03:00,30.000,100.066,3.360,20.06,10.0008999,10.0000038,0.0
2026-01-20T06:00:35.000-03:00,35.000,116.822,3.351,20.00,10.0010506,10.0000044,0.0
2026-01-20T06:00:40.000-03:00,40.000,133.700,3.375,19.75,10.0012024,10.0000050,0.0
2026-01-20T06:00:45.000-03:00,45.000,150.441,3.348,19.81,10.0013529,10.0000056,0.0
2026-01-20T06:00:50.000-03:00,50.000,167.227,3.357,19.71,10.0015039,10.0000063,0.0
2026-01-20T06:00:55.000-03:00,55.000,183.924,3.339,19.55,10.0016541,10.0000069,0.0
2026-01-20T06:01:00.000-03:00,60.000,200.571,3.329,19.69,10.0018038,10.0000075,0.0
2026-01-20T06:01:05.000-03:00,65.000,217.060,3.298,19.85,10.0019521,10.0000081,0.0
2026-01-20T06:01:10.000-03:00,70.000,233.659,3.320,20.01,10.0021013,10.0000087,0.0
2026-01-20T06:01:15.000-03:00,75.000,250.207,3.310,20.14,10.0022502,10.0000092,0.0
2026-01-20T06:01:20.000-03:00,80.000,266.666,3.292,20.29,10.0023982,10.0000098,0.0
2026-01-20T06:01:25.000-03:00,85.000,283.045,3.276,20.41,10.0025455,10.0000104,0.0
2026-01-20T06:01:30.000-03:00,90.000,299.511,3.293,20.43,10.0026936,10.0000109,0.0
2026-01-20T06:01:35.000-03:00,95.000,315.843,3.266,20.14,10.0028404,10.0000115,0.0
2026-01-20T06:01:40.000-03:00,100.000,332.443,3.320,20.02,10.0029897,10.0000120,0.0
2026-01-20T06:01:45.000-03:00,105.000,348.947,3.301,19.86,10.0031381,10.0000126,0.0
2026-01-20T06:01:50.000-03:00,110.000,365.523,3.315,19.70,10.0032872,10.0000131,0.0
2026-01-20T06:01:55.000-03:00,115.000,382.169,3.329,19.69,10.0034369,10.0000136,0.0
2026-01-20T06:02:00.000-03:00,120.000,398.871,3.340,19.66,10.0035871,10.0000141,0.0
2026-01-20T06:02:05.000-03:00,125.000,415.474,3.321,19.57,10.0037364,10.0000146,0.0
2026-01-20T06:02:10.000-03:00,130.000,432.226,3.350,19.66,10.0038871,10.0000151,0.0
2026-01-20T06:02:15.000-03:00,135.000,449.066,3.368,19.95,10.0040385,10.0000156,0.0
2026-01-20T06:02:20.000-03:00,140.000,465.793,3.345,20.04,10.0041890,10.0000160,0.0
2026-01-20T06:02:25.000-03:00,145.000,482.502,3.342,20.24,10.0043392,10.0000165,0.0
2026-01-20T06:02:30.000-03:00,150.000,499.248,3.349,20.20,10.0044898,10.0000169,0.0
2026-01-20T06:02:35.000-03:00,155.000,516.042,3.359,20.33,10.0046409,10.0000173,0.0
2026-01-20T06:02:40.000-03:00,160.000,532.797,3.351,20.41,10.0047916,10.0000177,0.0
2026-01-20T06:02:45.000-03:00,165.000,549.331,3.307,20.16,10.0049402,10.0000181,0.0
2026-01-20T06:02:50.000-03:00,170.000,565.826,3.299,20.11,10.0050886,10.0000185,0.0
2026-01-20T06:02:55.000-03:00,175.000,582.213,3.277,19.96,10.0052360,10.0000189,0.0
2026-01-20T06:03:00.000-03:00,180.000,598.592,3.276,19.74,10.0053833,10.0000192,0.0
2026-01-20T06:03:05.000-03:00,185.000,614.972,3.276,19.58,10.0055306,10.0000195,0.0
2026-01-20T06:03:10.000-03:00,190.000,631.406,3.287,19.76,10.0056784,10.0000199,0.0
2026-01-20T06:03:15.000-03:00,195.000,647.927,3.304,19.63,10.0058269,10.0000202,0.0
2026-01-20T06:03:20.000-03:00,200.000,664.472,3.309,19.77,10.0059757,10.0000205,0.0
2026-01-20T06:03:25.000-03:00,205.000,680.872,3.280,19.85,10.0061232,10.0000207,0.0
2026-01-20T06:03:30.000-03:00,210.000,697.371,3.300,20.06,10.0062716,10.0000210,0.0
2026-01-20T06:03:35.000-03:00,215.000,713.892,3.304,20.22,10.0064202,10.0000212,0.0
2026-01-20T06:03:40.000-03:00,220.000,730.562,3.334,20.41,10.0065701,10.0000215,0.0
2026-01-20T06:03:45.000-03:00,225.000,747.107,3.309,20.44,10.0067189,10.0000217,0.0
2026-01-20T06:03:50.000-03:00,230.000,763.884,3.355,20.23,10.0068698,10.0000219,0.0
2026-01-20T06:03:55.000-03:00,235.000,780.592,3.342,20.17,10.0070200,10.0000220,0.0
2026-01-20T06:04:00.000-03:00,240.000,797.421,3.366,20.01,10.0071714,10.0000222,0.0
2026-01-20T06:04:05.000-03:00,245.000,814.129,3.341,19.91,10.0073216,10.0000223,0.0
2026-01-20T06:04:10.000-03:00,250.000,830.941,3.362,19.70,10.0074728,10.0000225,0.0
2026-01-20T06:04:15.000-03:00,255.000,847.626,3.337,19.78,10.0076229,10.0000226,0.0
2026-01-20T06:04:20.000-03:00,260.000,864.456,3.366,19.58,10.0077742,10.0000226,0.0
2026-01-20T06:04:25.000-03:00,265.000,881.070,3.323,19.76,10.0079236,10.0000227,0.0
2026-01-20T06:04:30.000-03:00,270.000,897.569,3.300,19.85,10.0080720,10.0000228,0.0
2026-01-20T06:04:35.000-03:00,275.000,914.222,3.330,19.98,10.0082218,10.0000228,0.0
2026-01-20T06:04:40.000-03:00,280.000,930.717,3.299,20.18,10.0083701,10.0000228,0.0
2026-01-20T06:04:45.000-03:00,285.000,947.221,3.301,20.29,10.0085186,10.0000228,0.0
2026-01-20T06:04:50.000-03:00,290.000,963.732,3.302,20.26,10.0086670,10.0000228,0.0
2026-01-20T06:04:55.000-03:00,295.000,980.047,3.263,20.31,10.0088138,10.0000228,0.0
2026-01-20T06:05:00.000-03:00,300.000,996.431,3.277,20.26,10.0089611,10.0000227,0.0
2026-01-20T06:05:01.091-03:00,301.092,1000.000,3.269,20.19,10.0089932,10.0000227,0.0
