timestamp,elapsed_s,distance_m,speed_m_s,stroke_rate_spm,latitude,longitude,heading_deg
2026-02-03T06:00:05.000-03:00,5.000,16.663,3.333,20.93,11.0001499,11.0000008,0.0
2026-02-03T06:00:10.000-03:00,10.000,33.473,3.362,20.89,11.0003010,11.0000015,0.0
2026-02-03T06:00:15.000-03:00,15.000,50.339,3.373,21.03,11.0004527,11.0000023,0.0
2026-02-03T06:00:20.000-03:00,20.000,66.994,3.331,21.05,11.0006025,11.0000030,0.0
2026-02-03T06:00:25.000-03:00,25.000,83.673,3.336,21.04,11.0007525,11.0000038,0.0
2026-02-03T06:00:30.000-03:00,30.000,100.320,3.329,20.94,11.0009022,11.0000045,0.0
2026-02-03T06:00:35.000-03:00,35.000,117.064,3.349,20.98,11.0010528,11.0000052,0.0
2026-02-03T06:00:40.000-03:00,40.000,133.840,3.355,20.89,11.0012036,11.0000059,0.0
2026-02-03T06:00:45.000-03:00,45.000,150.553,3.343,20.91,11.0013540,11.0000066,0.0
2026-02-03T06:00:50.000-03:00,50.000,167.329,3.355,21.04,11.0015048,11.0000072,0.0
2026-02-03T06:00:55.000-03:00,55.000,184.188,3.372,21.01,11.0016564,11.0000079,0.0
2026-02-03T06:01:00.000-03:00,60.000,200.834,3.329,21.07,11.0018061,11.0000085,0.0
2026-02-03T06:01:05.000-03:00,65.000,217.510,3.335,20.97,11.0019561,11.0000091,0.0
2026-02-03T06:01:10.000-03:00,70.000,234.316,3.361,20.96,11.0021073,11.0000096,0.0
2026-02-03T06:01:15.000-03:00,75.000,251.004,3.338,20.88,11.0022573,11.0000102,0.0
2026-02-03T06:01:20.000-03:00,80.000,267.757,3.351,20.92,11.0024080,11.0000107,0.0
2026-02-03T06:01:25.000-03:00,85.000,284.629,3.374,20.91,11.0025597,11.0000111,0.0
2026-02-03T06:01:30.000-03:00,90.000,301.319,3.338,21.05,11.0027098,11.0000116,0.0
2026-02-03T06:01:35.000-03:00,95.000,318.188,3.374,20.95,11.0028615,11.0000120,0.0
2026-02-03T06:01:40.000-03:00,100.000,334.815,3.325,21.09,11.0030111,11.0000123,0.0
2026-02-03T06:01:45.000-03:00,105.000,351.601,3.357,20.91,11.0031620,11.0000126,0.0
2026-02-03T06:01:50.000-03:00,110.000,368.247,3.329,21.06,11.0033117,11.0000129,0.0
2026-02-03T06:01:55.000-03:00,115.000,385.070,3.364,20.96,11.0034630,11.0000132,0.0
2026-02-03T06:02:00.000-03:00,120.000,401.819,3.350,21.03,11.0036136,11.0000134,0.0
2026-02-03T06:02:05.000-03:00,125.000,418.530,3.342,21.01,11.0037639,11.0000135,0.0
2026-02-03T06:02:10.000-03:00,130.000,435.206,3.335,21.07,11.0039139,11.0000136,0.0
2026-02-03T06:02:15.000-03:00,135.000,451.991,3.357,20.96,11.0040648,11.0000137,0.0
2026-02-03T06:02:20.000-03:00,140.000,468.700,3.342,21.08,11.0042151,11.0000137,0.0
2026-02-03T06:02:25.000-03:00,145.000,485.377,3.335,21.00,11.0043651,11.0000137,0.0
2026-02-03T06:02:29.348-03:00,149.348,500.000,3.363,21.08,11.0044966,11.0000137,0.0
2026-02-03T06:02:34.348-03:00,154.348,508.276,1.655,16.05,11.0045710,11.0000136,0.0
2026-02-03T06:02:39.348-03:00,159.348,516.523,1.649,15.94,11.0046452,11.0000135,0.0
2026-02-03T06:02:44.348-03:00,164.348,524.680,1.631,15.96,11.0047186,11.0000133,0.0
2026-02-03T06:02:49.348-03:00,169.348,532.923,1.649,16.06,11.0047927,11.0000131,0.0
2026-02-03T06:02:54.348-03:00,174.348,541.133,1.642,16.08,11.0048665,11.0000128,0.0
2026-02-03T06:02:59.348-03:00,179.348,549.427,1.659,16.09,11.0049411,11.0000125,0.0
2026-02-03T06:03:04.348-03:00,184.348,557.672,1.649,15.98,11.0050153,11.0000122,0.0
2026-02-03T06:03:09.348-03:00,189.348,565.920,1.650,15.92,11.0050894,11.0000118,0.0
2026-02-03T06:03:14.348-03:00,194.348,574.090,1.634,15.99,11.0051629,11.0000114,0.0
2026-02-03T06:03:19.348-03:00,199.348,582.377,1.657,16.03,11.0052374,11.0000110,0.0
2026-02-03T06:03:24.348-03:00,204.348,590.567,1.638,16.07,11.0053111,11.0000105,0.0
2026-02-03T06:03:29.348-03:00,209.348,598.806,1.648,15.94,11.0053852,11.0000100,0.0
2026-02-03T06:03:34.348-03:00,214.348,607.037,1.646,16.06,11.0054592,11.0000095,0.0
2026-02-03T06:03:39.348-03:00,219.348,615.382,1.669,15.96,11.0055343,11.0000089,0.0
