timestamp,elapsed_s,distance_m,speed_m_s,stroke_rate_spm,latitude,longitude,heading_deg
2026-02-03T06:00:05.000-03:00,5.000,19.641,3.928,20.88,11.0001766,11.0000008,0.0
2026-02-03T06:00:10.000-03:00,10.000,39.099,3.892,20.91,11.0003516,11.0000015,0.0
2026-02-03T06:00:15.000-03:00,15.000,58.606,3.902,21.00,11.0005271,11.0000023,0.0
2026-02-03T06:00:20.000-03:00,20.000,78.143,3.907,20.90,11.0007028,11.0000030,0.0
2026-02-03T06:00:25.000-03:00,25.000,97.661,3.904,21.02,11.0008783,11.0000038,0.0
2026-02-03T06:00:30.000-03:00,30.000,117.330,3.934,21.00,11.0010552,11.0000045,0.0
2026-02-03T06:00:35.000-03:00,35.000,136.817,3.897,20.98,11.0012304,11.0000052,0.0
2026-02-03T06:00:40.000-03:00,40.000,156.321,3.901,20.90,11.0014058,11.0000059,0.0
2026-02-03T06:00:45.000-03:00,45.000,175.823,3.900,20.94,11.0015812,11.0000066,0.0
2026-02-03T06:00:50.000-03:00,50.000,195.337,3.903,21.09,11.0017567,11.0000072,0.0
2026-02-03T06:00:55.000-03:00,55.000,215.001,3.933,21.06,11.0019336,11.0000079,0.0
2026-02-03T06:01:00.000-03:00,60.000,234.439,3.887,21.05,11.0021084,11.0000085,0.0
2026-02-03T06:01:05.000-03:00,65.000,254.054,3.923,20.92,11.0022848,11.0000091,0.0
2026-02-03T06:01:10.000-03:00,70.000,273.526,3.894,21.00,11.0024599,11.0000096,0.0
2026-02-03T06:01:15.000-03:00,75.000,292.970,3.889,20.91,11.0026347,11.0000102,0.0
2026-02-03T06:01:20.000-03:00,80.000,312.450,3.896,21.04,11.0028099,11.0000107,0.0
2026-02-03T06:01:25.000-03:00,85.000,332.099,3.930,20.92,11.0029866,11.0000111,0.0
2026-02-03T06:01:30.000-03:00,90.000,351.602,3.900,21.02,11.0031620,11.0000116,0.0
2026-02-03T06:01:35.000-03:00,95.000,371.067,3.893,21.03,11.0033371,11.0000120,0.0
2026-02-03T06:01:40.000-03:00,100.000,390.507,3.888,21.04,11.0035119,11.0000123,0.0
2026-02-03T06:01:45.000-03:00,105.000,409.965,3.892,20.95,11.0036869,11.0000126,0.0
2026-02-03T06:01:50.000-03:00,110.000,429.533,3.914,21.07,11.0038629,11.0000129,0.0
2026-02-03T06:01:55.000-03:00,115.000,448.959,3.885,20.93,11.0040376,11.0000132,0.0
2026-02-03T06:02:00.000-03:00,120.000,468.410,3.890,21.11,11.0042125,11.0000134,0.0
2026-02-03T06:02:05.000-03:00,125.000,488.051,3.928,20.98,11.0043891,11.0000135,0.0
2026-02-03T06:02:08.062-03:00,128.062,500.000,3.902,20.94,11.0044966,11.0000136,0.0
2026-02-03T06:02:13.062-03:00,133.062,508.322,1.664,15.91,11.0045714,11.0000137,0.0
2026-02-03T06:02:18.062-03:00,138.062,516.638,1.663,15.93,11.0046462,11.0000137,0.0
2026-02-03T06:02:23.062-03:00,143.062,524.868,1.646,16.07,11.0047202,11.0000137,0.0
2026-02-03T06:02:28.062-03:00,148.062,533.129,1.652,16.03,11.0047945,11.0000137,0.0
2026-02-03T06:02:33.062-03:00,153.062,541.457,1.666,16.03,11.0048694,11.0000136,0.0
2026-02-03T06:02:38.062-03:00,158.062,549.792,1.667,15.97,11.0049444,11.0000135,0.0
2026-02-03T06:02:43.062-03:00,163.062,558.070,1.656,16.01,11.0050188,11.0000133,0.0
2026-02-03T06:02:48.062-03:00,168.062,566.359,1.658,15.91,11.0050934,11.0000131,0.0
2026-02-03T06:02:53.062-03:00,173.062,574.567,1.642,16.04,11.0051672,11.0000129,0.0
2026-02-03T06:02:58.062-03:00,178.062,582.766,1.640,16.00,11.0052409,11.0000126,0.0
2026-02-03T06:03:03.062-03:00,183.062,590.998,1.646,15.96,11.0053150,11.0000123,0.0
2026-02-03T06:03:08.062-03:00,188.062,599.185,1.637,16.08,11.0053886,11.0000119,0.0
2026-02-03T06:03:13.062-03:00,193.062,607.382,1.639,15.93,11.0054623,11.0000115,0.0
2026-02-03T06:03:18.062-03:00,198.062,615.712,1.666,16.03,11.0055372,11.0000111,0.0
2026-02-03T06:03:23.062-03:00,203.062,623.949,1.647,15.91,11.0056113,11.0000106,0.0
2026-02-03T06:03:28.062-03:00,208.062,632.281,1.666,15.92,11.0056862,11.0000101,0.0
2026-02-03T06:03:33.062-03:00,213.062,640.595,1.663,15.99,11.0057610,11.0000096,0.0
2026-02-03T06:03:38.062-03:00,218.062,648.756,1.632,15.94,11.0058344,11.0000090,0.0
2026-02-03T06:03:43.062-03:00,223.062,656.945,1.638,15.91,11.0059080,11.0000085,0.0
2026-02-03T06:03:48.062-03:00,228.062,665.238,1.659,15.98,11.0059826,11.0000078,0.0
2026-02-03T06:03:53.062-03:00,233.062,673.504,1.653,15.99,11.0060570,11.0000072,0.0
2026-02-03T06:03:58.062-03:00,238.062,681.774,1.654,16.09,11.0061313,11.0000065,0.0
2026-02-03T06:04:03.062-03:00,243.062,690.058,1.657,16.01,11.0062058,11.0000059,0.0
2026-02-03T06:04:08.062-03:00,248.062,698.258,1.640,15.97,11.0062796,11.0000052,0.0
2026-02-03T06:04:13.062-03:00,253.062,706.587,1.666,15.95,11.0063545,11.0000045,0.0
2026-02-03T06:04:18.062-03:00,258.062,714.890,1.661,15.96,11.0064292,11.0000037,0.0
2026-02-03T06:04:23.062-03:00,263.062,723.173,1.657,15.97,11.0065036,11.0000030,0.0
2026-02-03T06:04:28.062-03:00,268.062,731.397,1.645,16.01,11.0065776,11.0000022,0.0
2026-02-03T06:04:33.062-03:00,273.062,739.611,1.643,16.08,11.0066515,11.0000015,0.0
2026-02-03T06:04:38.062-03:00,278.062,747.927,1.663,16.08,11.0067263,11.0000007,0.0
2026-02-03T06:04:43.062-03:00,283.062,767.597,3.934,20.89,11.0069032,11.0000000,0.0
2026-02-03T06:04:48.062-03:00,288.062,787.033,3.887,21.07,11.0070780,10.9999992,0.0
2026-02-03T06:04:53.062-03:00,293.062,806.507,3.895,21.11,11.0072531,10.9999984,0.0
2026-02-03T06:04:58.062-03:00,298.062,826.104,3.919,21.06,11.0074293,10.9999977,0.0
2026-02-03T06:05:03.062-03:00,303.062,845.669,3.913,21.08,11.0076053,10.9999969,0.0
2026-02-03T06:05:08.062-03:00,308.062,865.150,3.896,21.10,11.0077805,10.9999962,0.0
2026-02-03T06:05:13.062-03:00,313.062,884.587,3.887,20.94,11.0079553,10.9999955,0.0
2026-02-03T06:05:18.062-03:00,318.062,904.029,3.888,21.08,11.0081301,10.9999947,0.0
2026-02-03T06:05:23.062-03:00,323.062,923.656,3.925,20.99,11.0083066,10.9999940,0.0
