timestamp,elapsed_s,distance_m,speed_m_s,stroke_rate_spm,latitude,longitude,heading_deg
2026-02-03T06:00:05.000-03:00,5.000,16.816,3.363,20.99,11.0001512,11.0000008,0.0
2026-02-03T06:00:10.000-03:00,10.000,33.490,3.335,20.97,11.0003012,11.0000015,0.0
2026-02-03T06:00:15.000-03:00,15.000,50.260,3.354,20.96,11.0004520,11.0000023,0.0
2026-02-03T06:00:20.000-03:00,20.000,67.026,3.353,21.07,11.0006028,11.0000030,0.0
2026-02-03T06:00:25.000-03:00,25.000,83.803,3.355,21.06,11.0007537,11.0000038,0.0
2026-02-03T06:00:30.000-03:00,30.000,100.647,3.369,21.03,11.0009051,11.0000045,0.0
2026-02-03T06:00:35.000-03:00,35.000,117.522,3.375,21.03,11.0010569,11.0000052,0.0
2026-02-03T06:00:40.000-03:00,40.000,134.292,3.354,20.93,11.0012077,11.0000059,0.0
2026-02-03T06:00:45.000-03:00,45.000,151.043,3.350,20.99,11.0013584,11.0000066,0.0
2026-02-03T06:00:50.000-03:00,50.000,167.844,3.360,20.94,11.0015095,11.0000072,0.0
2026-02-03T06:00:55.000-03:00,55.000,184.645,3.360,21.10,11.0016606,11.0000079,0.0
2026-02-03T06:01:00.000-03:00,60.000,201.432,3.357,20.99,11.0018115,11.0000085,0.0
2026-02-03T06:01:05.000-03:00,65.000,218.105,3.335,20.92,11.0019615,11.0000091,0.0
2026-02-03T06:01:10.000-03:00,70.000,234.763,3.332,20.96,11.0021113,11.0000096,0.0
2026-02-03T06:01:15.000-03:00,75.000,251.444,3.336,21.08,11.0022613,11.0000102,0.0
2026-02-03T06:01:20.000-03:00,80.000,268.189,3.349,21.05,11.0024119,11.0000107,0.0
2026-02-03T06:01:25.000-03:00,85.000,284.973,3.357,21.03,11.0025628,11.0000111,0.0
2026-02-03T06:01:30.000-03:00,90.000,301.826,3.371,21.06,11.0027144,11.0000116,0.0
2026-02-03T06:01:35.000-03:00,95.000,318.600,3.355,21.00,11.0028652,11.0000120,0.0
2026-02-03T06:01:40.000-03:00,100.000,335.411,3.362,20.89,11.0030164,11.0000123,0.0
2026-02-03T06:01:45.000-03:00,105.000,352.085,3.335,20.99,11.0031664,11.0000126,0.0
2026-02-03T06:01:50.000-03:00,110.000,368.791,3.341,21.06,11.0033166,11.0000129,0.0
2026-02-03T06:01:55.000-03:00,115.000,385.494,3.341,20.98,11.0034668,11.0000132,0.0
2026-02-03T06:02:00.000-03:00,120.000,402.183,3.338,20.96,11.0036169,11.0000134,0.0
2026-02-03T06:02:05.000-03:00,125.000,418.835,3.331,21.03,11.0037667,11.0000135,0.0
2026-02-03T06:02:10.000-03:00,130.000,435.559,3.345,21.04,11.0039171,11.0000136,0.0
2026-02-03T06:02:15.000-03:00,135.000,452.277,3.344,21.10,11.0040674,11.0000137,0.0
2026-02-03T06:02:20.000-03:00,140.000,469.004,3.345,20.90,11.0042178,11.0000137,0.0
2026-02-03T06:02:25.000-03:00,145.000,485.775,3.354,20.92,11.0043687,11.0000137,0.0
2026-02-03T06:02:29.275-03:00,149.275,500.000,3.327,21.05,11.0044966,11.0000137,0.0
2026-02-03T06:02:34.275-03:00,154.275,508.310,1.662,15.92,11.0045713,11.0000136,0.0
2026-02-03T06:02:39.275-03:00,159.275,516.480,1.634,16.05,11.0046448,11.0000135,0.0
2026-02-03T06:02:44.275-03:00,164.275,524.719,1.648,16.03,11.0047189,11.0000133,0.0
2026-02-03T06:02:49.275-03:00,169.275,533.023,1.661,15.94,11.0047936,11.0000131,0.0
2026-02-03T06:02:54.275-03:00,174.275,541.329,1.661,16.07,11.0048683,11.0000128,0.0
2026-02-03T06:02:59.275-03:00,179.275,549.505,1.635,15.97,11.0049418,11.0000125,0.0
2026-02-03T06:03:04.275-03:00,184.275,557.754,1.650,16.08,11.0050160,11.0000122,0.0
2026-02-03T06:03:09.275-03:00,189.275,565.991,1.647,16.07,11.0050901,11.0000118,0.0
2026-02-03T06:03:14.275-03:00,194.275,574.269,1.656,16.00,11.0051645,11.0000114,0.0
2026-02-03T06:03:19.275-03:00,199.275,582.590,1.664,16.05,11.0052393,11.0000110,0.0
2026-02-03T06:03:24.275-03:00,204.275,590.742,1.630,15.96,11.0053127,11.0000105,0.0
2026-02-03T06:03:29.275-03:00,209.275,598.946,1.641,16.10,11.0053864,11.0000100,0.0
2026-02-03T06:03:34.275-03:00,214.275,607.207,1.652,16.01,11.0054607,11.0000095,0.0
2026-02-03T06:03:39.275-03:00,219.275,615.547,1.668,16.03,11.0055357,11.0000089,0.0
2026-02-03T06:03:44.275-03:00,224.275,623.758,1.642,16.09,11.0056096,11.0000083,0.0
2026-02-03T06:03:49.275-03:00,229.275,631.996,1.648,16.00,11.0056837,11.0000077,0.0
2026-02-03T06:03:54.275-03:00,234.275,640.255,1.652,15.91,11.0057579,11.0000070,0.0
2026-02-03T06:03:59.275-03:00,239.275,648.438,1.637,16.08,11.0058315,11.0000064,0.0
2026-02-03T06:04:04.275-03:00,244.275,656.735,1.659,15.96,11.0059062,11.0000057,0.0
2026-02-03T06:04:09.275-03:00,249.275,664.978,1.649,16.01,11.0059803,11.0000050,0.0
2026-02-03T06:04:14.275-03:00,254.275,673.257,1.656,15.91,11.0060547,11.0000043,0.0
2026-02-03T06:04:19.275-03:00,259.275,681.498,1.648,15.97,11.0061288,11.0000035,0.0
2026-02-03T06:04:24.275-03:00,264.275,689.793,1.659,15.98,11.0062034,11.0000028,0.0
2026-02-03T06:04:29.275-03:00,269.275,698.099,1.661,16.10,11.0062781,11.0000020,0.0
2026-02-03T06:04:34.275-03:00,274.275,706.416,1.663,15.94,11.0063529,11.0000013,0.0
2026-02-03T06:04:39.275-03:00,279.275,714.755,1.668,16.06,11.0064279,11.0000005,0.0
2026-02-03T06:04:44.275-03:00,284.275,722.954,1.640,15.99,11.0065017,10.9999998,0.0
2026-02-03T06:04:49.275-03:00,289.275,731.238,1.657,16.07,11.0065762,10.9999990,0.0
2026-02-03T06:04:54.275-03:00,294.275,739.436,1.640,16.07,11.0066499,10.9999982,0.0
2026-02-03T06:04:59.275-03:00,299.275,747.777,1.668,15.94,11.0067249,10.9999975,0.0
2026-02-03T06:05:04.275-03:00,304.275,764.603,3.365,21.09,11.0068762,10.9999967,0.0
2026-02-03T06:05:09.275-03:00,309.275,781.231,3.326,20.89,11.0070258,10.9999960,0.0
2026-02-03T06:05:14.275-03:00,314.275,797.966,3.347,20.98,11.0071763,10.9999953,0.0
2026-02-03T06:05:19.275-03:00,319.275,814.629,3.333,20.94,11.0073261,10.9999946,0.0
2026-02-03T06:05:24.275-03:00,324.275,831.484,3.371,21.11,11.0074777,10.9999939,0.0
2026-02-03T06:05:29.275-03:00,329.275,848.243,3.352,20.91,11.0076284,10.9999932,0.0
2026-02-03T06:05:34.275-03:00,334.275,864.954,3.342,20.98,11.0077787,10.9999926,0.0
2026-02-03T06:05:39.275-03:00,339.275,881.792,3.367,20.97,11.0079301,10.9999919,0.0
2026-02-03T06:05:44.275-03:00,344.275,898.436,3.329,20.98,11.0080798,10.9999913,0.0
2026-02-03T06:05:49.275-03:00,349.275,915.196,3.352,20.94,11.0082305,10.9999907,0.0
2026-02-03T06:05:54.275-03:00,354.275,932.062,3.373,21.09,11.0083822,10.9999902,0.0
2026-02-03T06:05:59.275-03:00,359.275,948.792,3.346,21.08,11.0085327,10.9999897,0.0
2026-02-03T06:06:04.275-03:00,364.275,965.594,3.360,21.11,11.0086838,10.9999892,0.0
2026-02-03T06:06:09.275-03:00,369.275,982.361,3.353,20.93,11.0088346,10.9999887,0.0
2026-02-03T06:06:14.275-03:00,374.275,999.002,3.328,21.07,11.0089842,10.9999883,0.0
2026-02-03T06:06:19.275-03:00,379.275,1015.691,3.338,20.94,11.0091343,10.9999879,0.0
2026-02-03T06:06:24.275-03:00,384.275,1032.519,3.366,21.04,11.0092857,10.9999876,0.0
2026-02-03T06:06:29.275-03:00,389.275,1049.326,3.361,21.00,11.0094368,10.9999873,0.0
2026-02-03T06:06:34.275-03:00,394.275,1066.002,3.335,20.99,11.0095868,10.9999870,0.0
2026-02-03T06:06:39.275-03:00,399.275,1082.709,3.341,20.95,11.0097370,10.9999868,0.0
2026-02-03T06:06:44.275-03:00,404.275,1099.540,3.366,21.04,11.0098884,10.9999866,0.0
2026-02-03T06:06:49.275-03:00,409.275,1116.372,3.366,21.10,11.0100398,10.9999864,0.0
2026-02-03T06:06:54.275-03:00,414.275,1133.029,3.332,20.92,11.0101896,10.9999863,0.0
2026-02-03T06:06:59.275-03:00,419.275,1149.861,3.366,21.09,11.0103409,10.9999863,0.0
2026-02-03T06:07:04.275-03:00,424.275,1166.513,3.330,21.00,11.0104907,10.9999863,0.0
2026-02-03T06:07:09.275-03:00,429.275,1183.352,3.368,21.11,11.0106421,10.9999863,0.0
2026-02-03T06:07:14.275-03:00,434.275,1200.205,3.371,20.94,11.0107937,10.9999863,0.0
2026-02-03T06:07:19.275-03:00,439.275,1217.064,3.372,21.04,11.0109453,10.9999865,0.0
2026-02-03T06:07:24.275-03:00,444.275,1233.881,3.364,21.00,11.0110965,10.9999866,0.0
2026-02-03T06:07:28.403-03:00,448.403,1247.777,3.366,21.06,11.0112215,10.9999868,0.0
2026-02-03T06:07:33.403-03:00,453.403,1256.122,1.669,15.99,11.0112966,10.9999870,0.0
