timestamp,elapsed_s,distance_m,speed_m_s,stroke_rate_spm,latitude,longitude,heading_deg
2026-02-03T06:00:05.000-03:00,5.000,16.744,3.349,20.93,11.0001506,11.0000008,0.0
2026-02-03T06:00:10.000-03:00,10.000,33.401,3.331,20.91,11.0003004,11.0000015,0.0
2026-02-03T06:00:15.000-03:00,15.000,50.234,3.367,21.06,11.0004518,11.0000023,0.0
2026-02-03T06:00:20.000-03:00,20.000,66.907,3.335,20.95,11.0006017,11.0000030,0.0
2026-02-03T06:00:25.000-03:00,25.000,83.686,3.356,21.01,11.0007526,11.0000038,0.0
2026-02-03T06:00:30.000-03:00,30.000,100.413,3.345,20.98,11.0009030,11.0000045,0.0
2026-02-03T06:00:35.000-03:00,35.000,117.085,3.334,21.10,11.0010530,11.0000052,0.0
2026-02-03T06:00:40.000-03:00,40.000,133.910,3.365,20.91,11.0012043,11.0000059,0.0
2026-02-03T06:00:45.000-03:00,45.000,150.768,3.372,21.02,11.0013559,11.0000066,0.0
2026-02-03T06:00:50.000-03:00,50.000,167.636,3.374,20.92,11.0015076,11.0000072,0.0
2026-02-03T06:00:55.000-03:00,55.000,184.389,3.351,20.90,11.0016582,11.0000079,0.0
2026-02-03T06:01:00.000-03:00,60.000,201.142,3.351,21.06,11.0018089,11.0000085,0.0
2026-02-03T06:01:05.000-03:00,65.000,217.871,3.346,21.00,11.0019594,11.0000091,0.0
2026-02-03T06:01:10.000-03:00,70.000,234.590,3.344,20.92,11.0021097,11.0000096,0.0
2026-02-03T06:01:15.000-03:00,75.000,251.461,3.374,21.01,11.0022614,11.0000102,0.0
2026-02-03T06:01:20.000-03:00,80.000,268.132,3.334,20.99,11.0024114,11.0000107,0.0
2026-02-03T06:01:25.000-03:00,85.000,284.902,3.354,20.95,11.0025622,11.0000111,0.0
2026-02-03T06:01:30.000-03:00,90.000,301.608,3.341,21.03,11.0027124,11.0000116,0.0
2026-02-03T06:01:35.000-03:00,95.000,318.288,3.336,21.07,11.0028624,11.0000120,0.0
2026-02-03T06:01:40.000-03:00,100.000,334.943,3.331,21.11,11.0030122,11.0000123,0.0
2026-02-03T06:01:45.000-03:00,105.000,351.578,3.327,21.03,11.0031618,11.0000126,0.0
2026-02-03T06:01:50.000-03:00,110.000,368.445,3.373,20.97,11.0033135,11.0000129,0.0
2026-02-03T06:01:55.000-03:00,115.000,385.114,3.334,20.90,11.0034634,11.0000132,0.0
2026-02-03T06:02:00.000-03:00,120.000,401.859,3.349,20.97,11.0036140,11.0000134,0.0
2026-02-03T06:02:05.000-03:00,125.000,418.499,3.328,21.07,11.0037636,11.0000135,0.0
2026-02-03T06:02:10.000-03:00,130.000,435.133,3.327,20.98,11.0039132,11.0000136,0.0
2026-02-03T06:02:15.000-03:00,135.000,451.777,3.329,21.03,11.0040629,11.0000137,0.0
2026-02-03T06:02:20.000-03:00,140.000,468.552,3.355,21.10,11.0042138,11.0000137,0.0
2026-02-03T06:02:25.000-03:00,145.000,485.308,3.351,20.93,11.0043645,11.0000137,0.0
2026-02-03T06:02:29.384-03:00,149.384,500.000,3.351,20.98,11.0044966,11.0000137,0.0
2026-02-03T06:02:34.384-03:00,154.384,508.170,1.634,16.05,11.0045701,11.0000136,0.0
2026-02-03T06:02:39.384-03:00,159.384,516.401,1.646,15.97,11.0046441,11.0000135,0.0
2026-02-03T06:02:44.384-03:00,164.384,524.654,1.651,16.01,11.0047183,11.0000133,0.0
2026-02-03T06:02:49.384-03:00,169.384,532.807,1.631,15.97,11.0047916,11.0000131,0.0
2026-02-03T06:02:54.384-03:00,174.384,541.063,1.651,16.10,11.0048659,11.0000128,0.0
2026-02-03T06:02:59.384-03:00,179.384,549.354,1.658,16.03,11.0049405,11.0000125,0.0
2026-02-03T06:03:04.384-03:00,184.384,557.546,1.638,16.07,11.0050141,11.0000122,0.0
2026-02-03T06:03:09.384-03:00,189.384,565.725,1.636,15.93,11.0050877,11.0000118,0.0
2026-02-03T06:03:14.384-03:00,194.384,574.032,1.661,15.98,11.0051624,11.0000114,0.0
2026-02-03T06:03:19.384-03:00,199.384,582.312,1.656,16.04,11.0052369,11.0000110,0.0
2026-02-03T06:03:24.384-03:00,204.384,590.466,1.631,16.03,11.0053102,11.0000105,0.0
