timestamp,elapsed_s,distance_m,speed_m_s,stroke_rate_spm,latitude,longitude,heading_deg
2026-02-03T06:00:05.000-03:00,5.000,16.673,3.335,20.91,11.0001499,11.0000008,0.0
2026-02-03T06:00:10.000-03:00,10.000,33.398,3.345,21.06,11.0003004,11.0000015,0.0
2026-02-03T06:00:15.000-03:00,15.000,50.176,3.356,21.08,11.0004512,11.0000023,0.0
2026-02-03T06:00:20.000-03:00,20.000,66.914,3.348,20.97,11.0006018,11.0000030,0.0
2026-02-03T06:00:25.000-03:00,25.000,83.591,3.335,21.08,11.0007518,11.0000038,0.0
2026-02-03T06:00:30.000-03:00,30.000,100.421,3.366,20.99,11.0009031,11.0000045,0.0
2026-02-03T06:00:35.000-03:00,35.000,117.093,3.334,21.08,11.0010530,11.0000052,0.0
2026-02-03T06:00:40.000-03:00,40.000,133.826,3.347,21.04,11.0012035,11.0000059,0.0
2026-02-03T06:00:45.000-03:00,45.000,150.493,3.333,20.98,11.0013534,11.0000066,0.0
2026-02-03T06:00:50.000-03:00,50.000,167.312,3.364,20.89,11.0015047,11.0000072,0.0
2026-02-03T06:00:55.000-03:00,55.000,183.979,3.333,21.05,11.0016546,11.0000079,0.0
2026-02-03T06:01:00.000-03:00,60.000,200.852,3.375,20.94,11.0018063,11.0000085,0.0
2026-02-03T06:01:05.000-03:00,65.000,217.519,3.333,20.93,11.0019562,11.0000091,0.0
2026-02-03T06:01:10.000-03:00,70.000,234.214,3.339,21.03,11.0021063,11.0000096,0.0
2026-02-03T06:01:15.000-03:00,75.000,250.845,3.326,21.09,11.0022559,11.0000102,0.0
2026-02-03T06:01:20.000-03:00,80.000,267.493,3.330,20.98,11.0024056,11.0000107,0.0
2026-02-03T06:01:25.000-03:00,85.000,284.193,3.340,21.00,11.0025558,11.0000111,0.0
2026-02-03T06:01:30.000-03:00,90.000,300.844,3.330,20.91,11.0027055,11.0000116,0.0
2026-02-03T06:01:35.000-03:00,95.000,317.620,3.355,20.99,11.0028564,11.0000120,0.0
2026-02-03T06:01:40.000-03:00,100.000,334.286,3.333,21.04,11.0030063,11.0000123,0.0
2026-02-03T06:01:45.000-03:00,105.000,351.085,3.360,21.00,11.0031574,11.0000126,0.0
