timestamp,elapsed_s,distance_m,speed_m_s,stroke_rate_spm,latitude,longitude,gps_accuracy_m
2026-02-03T06:00:23.000-03:00,5.000,16.905,3.348,0.00,11.0001505,11.0000008,3.00
2026-02-03T06:00:33.000-03:00,15.000,50.624,3.338,0.00,11.0004508,11.0000023,3.00
2026-02-03T06:00:43.000-03:00,25.000,84.431,3.365,0.00,11.0007518,11.0000038,3.00
2026-02-03T06:00:53.000-03:00,35.000,118.318,3.367,0.00,11.0010535,11.0000052,3.00
2026-02-03T06:01:03.000-03:00,45.000,152.229,3.350,0.00,11.0013555,11.0000066,3.00
2026-02-03T06:01:13.000-03:00,55.000,186.145,3.371,0.00,11.0016575,11.0000079,3.00
2026-02-03T06:01:23.000-03:00,65.000,220.181,3.369,0.00,11.0019605,11.0000091,3.00
2026-02-03T06:01:33.000-03:00,75.000,254.051,3.359,0.00,11.0022621,11.0000102,3.00
2026-02-03T06:01:43.000-03:00,85.000,287.855,3.360,0.00,11.0025631,11.0000111,3.00
2026-02-03T06:01:53.000-03:00,95.000,321.569,3.338,0.00,11.0028633,11.0000120,3.00
2026-02-03T06:02:03.000-03:00,105.000,355.580,3.362,0.00,11.0031661,11.0000126,3.00
2026-02-03T06:02:13.000-03:00,115.000,389.539,3.350,0.00,11.0034685,11.0000132,3.00
2026-02-03T06:02:23.000-03:00,125.000,423.125,3.325,0.00,11.0037676,11.0000135,3.00
2026-02-03T06:02:33.000-03:00,135.000,456.872,3.347,0.00,11.0040681,11.0000137,3.00
2026-02-03T06:02:43.000-03:00,145.000,490.922,3.368,0.00,11.0043712,11.0000137,3.00
2026-02-03T06:02:52.185-03:00,154.185,513.329,1.649,0.00,11.0045708,11.0000136,3.00
2026-02-03T06:03:02.185-03:00,164.185,529.996,1.654,0.00,11.0047192,11.0000133,3.00
2026-02-03T06:03:12.185-03:00,174.185,546.641,1.658,0.00,11.0048674,11.0000128,3.00
2026-02-03T06:03:22.185-03:00,184.185,563.188,1.633,0.00,11.0050147,11.0000122,3.00
2026-02-03T06:03:32.185-03:00,194.185,579.873,1.638,0.00,11.0051633,11.0000114,3.00
2026-02-03T06:03:42.185-03:00,204.185,596.659,1.654,0.00,11.0053127,11.0000105,3.00
2026-02-03T06:03:52.185-03:00,214.185,613.362,1.662,0.00,11.0054615,11.0000095,3.00
2026-02-03T06:04:02.185-03:00,224.185,629.965,1.646,0.00,11.0056093,11.0000083,3.00
2026-02-03T06:04:12.185-03:00,234.185,646.601,1.639,0.00,11.0057574,11.0000071,3.00
2026-02-03T06:04:22.185-03:00,244.185,663.425,1.669,0.00,11.0059072,11.0000057,3.00
2026-02-03T06:04:32.185-03:00,254.185,680.151,1.660,0.00,11.0060562,11.0000043,3.00
2026-02-03T06:04:42.185-03:00,264.185,696.887,1.644,0.00,11.0062052,11.0000028,3.00
2026-02-03T06:04:52.185-03:00,274.185,713.643,1.655,0.00,11.0063544,11.0000013,3.00
2026-02-03T06:05:02.185-03:00,284.185,730.436,1.664,0.00,11.0065039,10.9999998,3.00
2026-02-03T06:05:12.185-03:00,294.185,747.120,1.659,0.00,11.0066525,10.9999983,3.00
2026-02-03T06:05:22.185-03:00,304.185,772.339,3.353,0.00,11.0068770,10.9999968,3.00
2026-02-03T06:05:32.185-03:00,314.185,806.084,3.345,0.00,11.0071775,10.9999953,3.00
2026-02-03T06:05:42.185-03:00,324.185,839.990,3.366,0.00,11.0074794,10.9999939,3.00
2026-02-03T06:05:52.185-03:00,334.185,873.980,3.356,0.00,11.0077821,10.9999926,3.00
2026-02-03T06:06:02.185-03:00,344.185,907.964,3.371,0.00,11.0080847,10.9999913,3.00
2026-02-03T06:06:12.185-03:00,354.185,941.997,3.371,0.00,11.0083877,10.9999902,3.00
2026-02-03T06:06:22.185-03:00,364.185,975.927,3.354,0.00,11.0086898,10.9999892,3.00
2026-02-03T06:06:32.185-03:00,374.185,1009.761,3.357,0.00,11.0089911,10.9999883,3.00
2026-02-03T06:06:42.185-03:00,384.185,1043.634,3.342,0.00,11.0092927,10.9999876,3.00
2026-02-03T06:06:52.185-03:00,394.185,1077.378,3.356,0.00,11.0095932,10.9999870,3.00
2026-02-03T06:07:02.185-03:00,404.185,1111.203,3.350,0.00,11.0098943,10.9999866,3.00
2026-02-03T06:07:12.185-03:00,414.185,1145.085,3.349,0.00,11.0101960,10.9999863,3.00
2026-02-03T06:07:22.185-03:00,424.185,1178.785,3.328,0.00,11.0104961,10.9999863,3.00
2026-02-03T06:07:32.185-03:00,434.185,1212.595,3.361,0.00,11.0107971,10.9999863,3.00
2026-02-03T06:07:42.185-03:00,444.185,1246.414,3.355,0.00,11.0110983,10.9999866,3.00
2026-02-03T06:07:51.342-03:00,453.342,1268.640,1.630,0.00,11.0112962,10.9999870,3.00
2026-02-03T06:08:01.342-03:00,463.342,1285.216,1.631,0.00,11.0114438,10.9999875,3.00
2026-02-03T06:08:11.342-03:00,473.342,1301.753,1.642,0.00,11.0115910,10.9999883,3.00
2026-02-03T06:08:21.342-03:00,483.342,1318.480,1.642,0.00,11.0117400,10.9999891,3.00
2026-02-03T06:08:31.342-03:00,493.342,1335.250,1.658,0.00,11.0118893,10.9999901,3.00
2026-02-03T06:08:41.342-03:00,503.342,1352.090,1.666,0.00,11.0120392,10.9999912,3.00
2026-02-03T06:08:51.342-03:00,513.342,1368.733,1.644,0.00,11.0121874,10.9999925,3.00
2026-02-03T06:09:01.342-03:00,523.342,1385.473,1.666,0.00,11.0123365,10.9999938,3.00
2026-02-03T06:09:11.342-03:00,533.342,1402.187,1.651,0.00,11.0124853,10.9999952,3.00
2026-02-03T06:09:21.342-03:00,543.342,1418.871,1.637,0.00,11.0126339,10.9999967,3.00
2026-02-03T06:09:31.342-03:00,553.342,1435.441,1.644,0.00,11.0127814,10.9999982,3.00
2026-02-03T06:09:41.342-03:00,563.342,1452.080,1.663,0.00,11.0129296,10.9999997,3.00
2026-02-03T06:09:51.342-03:00,573.342,1468.831,1.655,0.00,11.0130787,11.0000012,3.00
2026-02-03T06:10:01.342-03:00,583.342,1485.396,1.635,0.00,11.0132262,11.0000027,3.00
2026-02-03T06:10:11.342-03:00,593.342,1502.177,1.663,0.00,11.0133756,11.0000042,3.00
2026-02-03T06:10:21.342-03:00,603.342,1527.345,3.349,0.00,11.0135997,11.0000056,3.00
2026-02-03T06:10:31.342-03:00,613.342,1561.199,3.364,0.00,11.0139012,11.0000070,3.00
2026-02-03T06:10:41.342-03:00,623.342,1594.956,3.338,0.00,11.0142017,11.0000082,3.00
2026-02-03T06:10:51.342-03:00,633.342,1628.621,3.338,0.00,11.0145015,11.0000094,3.00
2026-02-03T06:11:01.342-03:00,643.342,1662.355,3.340,0.00,11.0148019,11.0000105,3.00
2026-02-03T06:11:11.342-03:00,653.342,1696.163,3.355,0.00,11.0151029,11.0000114,3.00
2026-02-03T06:11:21.342-03:00,663.342,1729.938,3.354,0.00,11.0154036,11.0000122,3.00
2026-02-03T06:11:31.342-03:00,673.342,1763.775,3.366,0.00,11.0157049,11.0000128,3.00
2026-02-03T06:11:41.342-03:00,683.342,1797.541,3.330,0.00,11.0160056,11.0000133,3.00
2026-02-03T06:11:51.342-03:00,693.342,1831.291,3.356,0.00,11.0163061,11.0000136,3.00
2026-02-03T06:12:01.342-03:00,703.342,1865.280,3.362,0.00,11.0166088,11.0000137,3.00
2026-02-03T06:12:11.342-03:00,713.342,1899.109,3.353,0.00,11.0169100,11.0000137,3.00
2026-02-03T06:12:21.342-03:00,723.342,1932.944,3.328,0.00,11.0172112,11.0000135,3.00
2026-02-03T06:12:31.342-03:00,733.342,1966.687,3.350,0.00,11.0175117,11.0000132,3.00
2026-02-03T06:12:41.342-03:00,743.342,2000.570,3.362,0.00,11.0178134,11.0000126,3.00
2026-02-03T06:12:50.749-03:00,752.749,2023.717,1.640,0.00,11.0180195,11.0000120,3.00
2026-02-03T06:13:00.749-03:00,762.749,2040.236,1.641,0.00,11.0181666,11.0000112,3.00
2026-02-03T06:13:10.749-03:00,772.749,2056.832,1.651,0.00,11.0183144,11.0000102,3.00
2026-02-03T06:13:20.749-03:00,782.749,2073.614,1.656,0.00,11.0184638,11.0000091,3.00
2026-02-03T06:13:30.749-03:00,792.749,2090.231,1.638,0.00,11.0186118,11.0000079,3.00
2026-02-03T06:13:40.749-03:00,802.749,2106.877,1.656,0.00,11.0187600,11.0000067,3.00
2026-02-03T06:13:50.749-03:00,812.749,2123.687,1.660,0.00,11.0189097,11.0000053,3.00
2026-02-03T06:14:00.749-03:00,822.749,2140.536,1.670,0.00,11.0190597,11.0000038,3.00
2026-02-03T06:14:10.749-03:00,832.749,2157.267,1.643,0.00,11.0192087,11.0000024,3.00
2026-02-03T06:14:20.749-03:00,842.749,2173.811,1.632,0.00,11.0193560,11.0000008,3.00
2026-02-03T06:14:30.749-03:00,852.749,2190.390,1.651,0.00,11.0195036,10.9999993,3.00
2026-02-03T06:14:40.749-03:00,862.749,2206.896,1.635,0.00,11.0196506,10.9999978,3.00
2026-02-03T06:14:50.749-03:00,872.749,2223.579,1.661,0.00,11.0197991,10.9999963,3.00
2026-02-03T06:15:00.749-03:00,882.749,2240.227,1.630,0.00,11.0199474,10.9999949,3.00
2026-02-03T06:15:10.749-03:00,892.749,2256.924,1.649,0.00,11.0200960,10.9999935,3.00
2026-02-03T06:15:20.749-03:00,902.749,2282.159,3.328,0.00,11.0203207,10.9999922,3.00
2026-02-03T06:15:30.749-03:00,912.749,2315.920,3.360,0.00,11.0206213,10.9999910,3.00
2026-02-03T06:15:40.749-03:00,922.749,2349.784,3.370,0.00,11.0209229,10.9999899,3.00
2026-02-03T06:15:50.749-03:00,932.749,2383.822,3.369,0.00,11.0212259,10.9999889,3.00
2026-02-03T06:16:00.749-03:00,942.749,2417.615,3.341,0.00,11.0215268,10.9999881,3.00
2026-02-03T06:16:10.749-03:00,952.749,2451.534,3.360,0.00,11.0218288,10.9999874,3.00
2026-02-03T06:16:20.749-03:00,962.749,2485.380,3.349,0.00,11.0221302,10.9999869,3.00
2026-02-03T06:16:30.749-03:00,972.749,2519.266,3.365,0.00,11.0224320,10.9999865,3.00
2026-02-03T06:16:40.749-03:00,982.749,2553.169,3.363,0.00,11.0227338,10.9999863,3.00
2026-02-03T06:16:50.749-03:00,992.749,2587.097,3.357,0.00,11.0230359,10.9999863,3.00
2026-02-03T06:17:00.749-03:00,1002.749,2620.783,3.332,0.00,11.0233359,10.9999864,3.00
2026-02-03T06:17:10.749-03:00,1012.749,2654.664,3.334,0.00,11.0236376,10.9999867,3.00
