timestamp,elapsed_s,distance_m,speed_m_s,stroke_rate_spm,latitude,longitude,heading_deg
2026-02-03T06:00:05.000-03:00,5.000,16.738,3.348,21.09,11.0001505,11.0000008,0.0
2026-02-03T06:00:10.000-03:00,10.000,33.436,3.340,20.96,11.0003007,11.0000015,0.0
2026-02-03T06:00:15.000-03:00,15.000,50.123,3.338,20.94,11.0004508,11.0000023,0.0
2026-02-03T06:00:20.000-03:00,20.000,66.770,3.329,20.90,11.0006005,11.0000030,0.0
2026-02-03T06:00:25.000-03:00,25.000,83.595,3.365,20.97,11.0007518,11.0000038,0.0
2026-02-03T06:00:30.000-03:00,30.000,100.312,3.343,21.09,11.0009021,11.0000045,0.0
2026-02-03T06:00:35.000-03:00,35.000,117.147,3.367,21.11,11.0010535,11.0000052,0.0
2026-02-03T06:00:40.000-03:00,40.000,133.971,3.365,21.04,11.0012048,11.0000059,0.0
2026-02-03T06:00:45.000-03:00,45.000,150.722,3.350,21.09,11.0013555,11.0000066,0.0
2026-02-03T06:00:50.000-03:00,50.000,167.449,3.345,20.91,11.0015059,11.0000072,0.0
2026-02-03T06:00:55.000-03:00,55.000,184.302,3.371,21.06,11.0016575,11.0000079,0.0
2026-02-03T06:01:00.000-03:00,60.000,201.154,3.370,20.98,11.0018090,11.0000085,0.0
2026-02-03T06:01:05.000-03:00,65.000,218.001,3.369,21.02,11.0019605,11.0000091,0.0
2026-02-03T06:01:10.000-03:00,70.000,234.743,3.348,20.94,11.0021111,11.0000096,0.0
2026-02-03T06:01:15.000-03:00,75.000,251.536,3.359,21.01,11.0022621,11.0000102,0.0
2026-02-03T06:01:20.000-03:00,80.000,268.203,3.334,21.02,11.0024120,11.0000107,0.0
2026-02-03T06:01:25.000-03:00,85.000,285.005,3.360,21.05,11.0025631,11.0000111,0.0
2026-02-03T06:01:30.000-03:00,90.000,301.696,3.338,21.11,11.0027132,11.0000116,0.0
2026-02-03T06:01:35.000-03:00,95.000,318.385,3.338,20.96,11.0028633,11.0000120,0.0
2026-02-03T06:01:40.000-03:00,100.000,335.250,3.373,21.00,11.0030150,11.0000123,0.0
2026-02-03T06:01:45.000-03:00,105.000,352.059,3.362,20.91,11.0031661,11.0000126,0.0
2026-02-03T06:01:50.000-03:00,110.000,368.933,3.375,20.99,11.0033179,11.0000129,0.0
2026-02-03T06:01:55.000-03:00,115.000,385.682,3.350,21.01,11.0034685,11.0000132,0.0
2026-02-03T06:02:00.000-03:00,120.000,402.310,3.326,21.08,11.0036181,11.0000134,0.0
2026-02-03T06:02:05.000-03:00,125.000,418.936,3.325,21.09,11.0037676,11.0000135,0.0
2026-02-03T06:02:10.000-03:00,130.000,435.616,3.336,21.03,11.0039176,11.0000136,0.0
2026-02-03T06:02:15.000-03:00,135.000,452.349,3.347,21.06,11.0040681,11.0000137,0.0
2026-02-03T06:02:20.000-03:00,140.000,469.223,3.375,20.97,11.0042198,11.0000137,0.0
