timestamp,elapsed_s,distance_m,speed_m_s,stroke_rate_spm,latitude,longitude,gps_accuracy_m
2026-01-20T06:00:37.000-03:00,0.000,0.000,0.032,0.00,10.0000197,9.9999905,2.92
2026-01-20T06:00:47.000-03:00,10.000,33.787,3.382,0.00,10.0003005,10.0000119,4.28
2026-01-20T06:00:57.000-03:00,20.000,67.421,3.380,0.00,10.0005975,10.0000114,3.66
2026-01-20T06:01:07.000-03:00,30.000,101.267,3.441,0.00,10.0008784,10.0000016,2.12
2026-01-20T06:01:17.000-03:00,40.000,135.304,3.408,0.00,10.0012235,10.0000023,2.82
2026-01-20T06:01:27.000-03:00,50.000,169.234,3.346,0.00,10.0015219,10.0000269,4.19
2026-01-20T06:01:37.000-03:00,60.000,202.978,3.361,0.00,10.0018029,9.9999875,4.14
2026-01-20T06:01:47.000-03:00,70.000,236.463,3.334,0.00,10.0021042,9.9999973,4.44
2026-01-20T06:01:57.000-03:00,80.000,269.866,3.299,0.00,10.0023958,10.0000021,3.81
2026-01-20T06:02:07.000-03:00,90.000,303.105,3.313,0.00,10.0027155,10.0000023,2.70
2026-01-20T06:02:17.000-03:00,100.000,336.432,3.399,0.00,10.0029712,10.0000226,3.19
2026-01-20T06:02:27.000-03:00,110.000,369.909,3.362,0.00,10.0032903,10.0000210,3.05
2026-01-20T06:02:37.000-03:00,120.000,403.657,3.383,0.00,10.0035706,10.0000334,2.37
2026-01-20T06:02:47.000-03:00,130.000,437.413,3.362,0.00,10.0038778,10.0000024,4.44
2026-01-20T06:02:57.000-03:00,140.000,471.383,3.404,0.00,10.0042113,10.0000259,3.73
2026-01-20T06:03:07.000-03:00,150.000,505.239,3.368,0.00,10.0044947,9.9999973,2.61
2026-01-20T06:03:17.000-03:00,160.000,539.191,3.410,0.00,10.0047769,9.9999967,3.26
2026-01-20T06:03:27.000-03:00,170.000,572.616,3.286,0.00,10.0051025,10.0000258,3.94
2026-01-20T06:03:37.000-03:00,180.000,605.775,3.306,0.00,10.0053947,10.0000096,2.94
2026-01-20T06:03:47.000-03:00,190.000,638.983,3.294,0.00,10.0056863,10.0000204,3.67
2026-01-20T06:03:57.000-03:00,200.000,672.446,3.315,0.00,10.0059680,10.0000367,4.74
2026-01-20T06:04:07.000-03:00,210.000,705.739,3.332,0.00,10.0062660,10.0000026,2.91
2026-01-20T06:04:17.000-03:00,220.000,739.329,3.400,0.00,10.0065802,10.0000282,4.02
2026-01-20T06:04:27.000-03:00,230.000,773.051,3.435,0.00,10.0068875,10.0000388,2.29
2026-01-20T06:04:37.000-03:00,240.000,806.990,3.366,0.00,10.0071587,10.0000360,4.48
2026-01-20T06:04:47.000-03:00,250.000,840.912,3.431,0.00,10.0074734,10.0000360,3.22
2026-01-20T06:04:57.000-03:00,260.000,874.829,3.443,0.00,10.0077586,10.0000127,3.37
2026-01-20T06:05:07.000-03:00,270.000,908.340,3.288,0.00,10.0080560,10.0000164,4.71
2026-01-20T06:05:17.000-03:00,280.000,941.886,3.285,0.00,10.0083676,10.0000270,3.24
2026-01-20T06:05:27.000-03:00,290.000,975.297,3.334,0.00,10.0086802,10.0000132,4.26
2026-01-20T06:05:37.000-03:00,300.000,1008.388,3.267,0.00,10.0089420,10.0000109,3.59
2026-01-20T06:05:43.092-03:00,306.092,1020.750,1.786,0.00,10.0090843,10.0000355,2.74
2026-01-20T06:05:53.092-03:00,316.092,1038.516,1.796,0.00,10.0092293,10.0000095,3.66
2026-01-20T06:06:03.092-03:00,326.092,1056.228,1.731,0.00,10.0093912,10.0000084,2.97
2026-01-20T06:06:13.092-03:00,336.092,1073.984,1.791,0.00,10.0095654,10.0000330,3.70
2026-01-20T06:06:23.092-03:00,346.092,1091.644,1.704,0.00,10.0097141,10.0000164,4.18
